zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
01007,01007,Zip Matches ZCTA,42.27901,-72.400468
01008,01008,Zip Matches ZCTA,42.190191,-72.954263
01009,01009,Zip Matches ZCTA,42.209669,-72.339743
01010,01010,Zip Matches ZCTA,42.128176,-72.205352
01011,01011,Zip Matches ZCTA,42.300281,-72.968716
01012,01012,Zip Matches ZCTA,42.375425,-72.858192
01013,01013,Zip Matches ZCTA,42.154904,-72.602804
01014,01013,Spatial join to ZCTA,42.154904,-72.602804
01020,01020,Zip Matches ZCTA,42.172602,-72.562073
01021,01020,Spatial join to ZCTA,42.172602,-72.562073
01022,01022,Zip Matches ZCTA,42.197741,-72.542713
01026,01026,Zip Matches ZCTA,42.465495,-72.918267
01027,01027,Zip Matches ZCTA,42.295008,-72.751877
01028,01028,Zip Matches ZCTA,42.062378,-72.498111
01029,01029,Zip Matches ZCTA,42.193395,-73.044647
01030,01030,Zip Matches ZCTA,42.072925,-72.686972
01031,01031,Zip Matches ZCTA,42.32938,-72.198156
01032,01032,Zip Matches ZCTA,42.457613,-72.81478
01033,01033,Zip Matches ZCTA,42.244949,-72.500143
01034,01034,Zip Matches ZCTA,42.093912,-72.961103
01035,01035,Zip Matches ZCTA,42.356491,-72.568632
01036,01036,Zip Matches ZCTA,42.071188,-72.417718
01037,01037,Zip Matches ZCTA,42.372728,-72.195412
01038,01038,Zip Matches ZCTA,42.385496,-72.606929
01039,01039,Zip Matches ZCTA,42.404287,-72.688924
01040,01040,Zip Matches ZCTA,42.211656,-72.642448
01041,01040,Spatial join to ZCTA,42.211656,-72.642448
01050,01050,Zip Matches ZCTA,42.286762,-72.869695
01053,01053,Zip Matches ZCTA,42.356301,-72.713584
01054,01054,Zip Matches ZCTA,42.468898,-72.484579
01056,01056,Zip Matches ZCTA,42.183577,-72.457812
01057,01057,Zip Matches ZCTA,42.093596,-72.321494
01059,01002,Spatial join to ZCTA,42.36406,-72.458741
01060,01060,Zip Matches ZCTA,42.321488,-72.630588
01061,01060,Spatial join to ZCTA,42.321488,-72.630588
01062,01062,Zip Matches ZCTA,42.323033,-72.701789
01063,01063,Zip matches ZCTA,42.318882,-72.63853
01066,01066,Zip matches ZCTA,42.406909,-72.655015
01068,01068,Zip Matches ZCTA,42.350862,-72.044248
01069,01069,Zip Matches ZCTA,42.188862,-72.30648
01070,01070,Zip Matches ZCTA,42.518446,-72.919017
01071,01071,Zip Matches ZCTA,42.160064,-72.87384
01072,01072,Zip Matches ZCTA,42.456968,-72.417244
01073,01073,Zip Matches ZCTA,42.226949,-72.741588
01074,01074,Zip matches ZCTA,42.387603,-72.09323
01075,01075,Zip Matches ZCTA,42.256208,-72.58103
01077,01077,Zip Matches ZCTA,42.05257,-72.777353
01079,01079,Zip Matches ZCTA,42.194344,-72.328868
01080,01080,Zip Matches ZCTA,42.185727,-72.361558
01081,01081,Zip Matches ZCTA,42.061313,-72.234411
01082,01082,Zip Matches ZCTA,42.293533,-72.278599
01083,01083,Zip Matches ZCTA,42.203642,-72.194599
01084,01084,Zip Matches ZCTA,42.39237,-72.882235
01085,01085,Zip Matches ZCTA,42.153503,-72.771602
01086,01086,Zip matches ZCTA,42.130446,-72.793967
01088,01088,Zip Matches ZCTA,42.391709,-72.646494
01089,01089,Zip Matches ZCTA,42.125451,-72.649734
01090,01089,Spatial join to ZCTA,42.125451,-72.649734
01092,01092,Zip Matches ZCTA,42.191868,-72.235108
01093,01093,Zip Matches ZCTA,42.441943,-72.661817
01094,01094,Zip Matches ZCTA,42.359108,-72.1368
01095,01095,Zip Matches ZCTA,42.138499,-72.420715
01096,01096,Zip Matches ZCTA,42.397138,-72.763554
01097,01097,Zip Matches ZCTA,42.178038,-72.832612
01098,01098,Zip Matches ZCTA,42.394315,-72.943115
01101,01104,Spatial join to ZCTA,42.134009,-72.565378
01102,01104,Spatial join to ZCTA,42.134009,-72.565378
01103,01103,Zip Matches ZCTA,42.104106,-72.592027
01104,01104,Zip Matches ZCTA,42.134009,-72.565378
01105,01105,Zip Matches ZCTA,42.099958,-72.580765
